name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Sparx Mens Sm-648 Sports Shoes,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GSeDCrzlL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-648-Orange-Sports-Shoes/dp/B08RNRM22T/ref=sr_1_373?qid=1679217354&s=sports&sr=1-373,4.1,"1,364",₹875,"₹1,099"
Campus Men's Corel Floaters,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61fhiXA-nyS._AC_UL320_.jpg,https://www.amazon.in/Campus-Corel-T-BLU-Floaters-India/dp/B09497P9P4/ref=sr_1_374?qid=1679217354&s=sports&sr=1-374,3.9,733,₹597,₹599
Shobha ENTERPRISES Black Solid Caps for Men & Women for Sports & Outdoor,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/21q4FDQ8srL._AC_UL320_.jpg,https://www.amazon.in/Black-Solid-Women-Sports-Outdoor/dp/B08537VNB5/ref=sr_1_375?qid=1679217354&s=sports&sr=1-375,3.8,172,₹170,₹299
Reebok Womens Super Connect W Running Shoe,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818EjyPcZVL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Womens-Black-Connect-Running/dp/B09N6M77VR/ref=sr_1_376?qid=1679217354&s=sports&sr=1-376,4.8,6,"₹1,098","₹2,599"
BULLMER Men's Regular Fit Polyester Track Pant,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51jWbmuMQUL._AC_UL320_.jpg,https://www.amazon.in/BULLMER-Performance-Fabric-Polyster-Lycra/dp/B09DCWX5VN/ref=sr_1_377?qid=1679217354&s=sports&sr=1-377,3.2,429,₹389,"₹1,899"
SELLORIA Men's Acrylic Cap (Pack Of 2) (225544_Multicolor_Free Size),sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41Xbp0l+YRL._AC_UL320_.jpg,https://www.amazon.in/SELLORIA-Mens-Acrylic-Pack-225544_Multicolor_Free/dp/B0B8F1L49V/ref=sr_1_378?qid=1679217354&s=sports&sr=1-378,3.9,112,₹299,₹399
Puma Women Cap,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61KiZ31Rm8L._AC_UL320_.jpg,https://www.amazon.in/Puma-Womens-2375801-Black_Free-Size/dp/B096R6K3MB/ref=sr_1_379?qid=1679217354&s=sports&sr=1-379,3.9,8,₹499,₹999
Campus Men's PLATEUE Running Shoes,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71inBjGkd4L._AC_UL320_.jpg,https://www.amazon.in/Campus-PLATEUE-Running-Shoes-India/dp/B097PPL9TX/ref=sr_1_380?qid=1679217354&s=sports&sr=1-380,4.0,226,₹975,"₹1,599"
"Skudgear Great Lightweight Headband Workout Sweatbands for Men & Women (Full Black, One Size, 1pc) | Gym Equipment | Runni...",sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51kMQIuDHtL._AC_UL320_.jpg,https://www.amazon.in/SKUDGEAR-Mens-Headbands-Racquetball-Performance/dp/B07JH69F2J/ref=sr_1_381_mod_primary_new?qid=1679217354&s=sports&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-381,3.9,361,₹209,₹999
Adidas Mens Vs Pace 2.0 Sneaker,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51kjf6eFJ-L._AC_UL320_.jpg,https://www.amazon.in/Adidas-Synthetic-Skateboarding-Shoes-Black/dp/B0BJL3VS31/ref=sr_1_382?qid=1679217354&s=sports&sr=1-382,3.8,12,"₹2,390","₹4,999"
U.S. POLO ASSN. Men Pajamas,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51AeY3BW1TL._AC_UL320_.jpg,https://www.amazon.in/USPA-Track-Pants-I659-GN0-CH_Green-Check_Large/dp/B07WRLT91Q/ref=sr_1_383?qid=1679217354&s=sports&sr=1-383,4.1,"1,081","₹1,146","₹1,199"
